# IMMUTABLE RAW PULL — DO NOT MODIFY
# Instrument: SPY
# Source: IBKR TWS port 7497
# whatToShow: ADJUSTED_LAST
# barSizeSetting: 1 day, useRTH: True
# Pull date: 2026-07-01
# Rows: 6033
date,open,high,low,close,volume
2021-09-30,408.82,409.52,402.03,402.37,95385455.0
2021-10-01,404.09,408.84,400.58,407.15,89252803.0
2021-10-04,405.99,406.89,399.76,401.9,93164264.0
2021-10-05,403.4,408.32,402.6,406.08,66533717.0
2021-10-06,402.49,407.98,400.87,407.77,85087792.0
2021-10-07,411.04,414.13,410.86,411.3,53752620.0
2021-10-08,412.06,412.45,409.92,410.54,49536254.0
2021-10-11,409.89,412.8,407.51,407.57,45607034.0
2021-10-12,408.49,408.89,405.78,406.57,50189611.0
2021-10-13,407.59,408.85,404.62,408.03,51504299.0
2021-10-14,411.69,415.05,411.22,414.9,48509619.0
2021-10-15,417.01,418.42,416.39,418.06,42364398.0
2021-10-18,416.27,419.63,415.62,419.29,38411426.0
2021-10-19,420.92,422.58,420.31,422.53,35357494.0
2021-10-20,422.99,424.5,422.87,424.19,33853976.0
2021-10-21,423.58,425.52,423.16,425.29,28831267.0
2021-10-22,424.86,426.31,422.91,424.85,43018221.0
2021-10-25,425.94,427.46,424.17,427.13,30727454.0
2021-10-26,428.68,429.89,427.14,427.52,41357087.0
2021-10-27,427.98,428.64,425.55,425.62,39788490.0
2021-10-28,427.05,429.8,427.04,429.73,32730351.0
2021-10-29,427.43,430.89,427.14,430.6,41868994.0
2021-11-01,431.59,431.97,429.62,431.34,31993675.0
2021-11-02,431.5,433.39,431.38,433.09,31098995.0
2021-11-03,432.52,436.13,432.08,435.73,36111379.0
2021-11-04,436.33,437.87,435.98,437.78,34005044.0
2021-11-05,440.0,441.29,437.79,439.3,44787011.0
2021-11-08,440.4,440.9,438.99,439.68,27752483.0
2021-11-09,440.04,440.28,436.82,438.22,36792267.0
2021-11-10,436.54,438.22,433.22,434.7,50215523.0
2021-11-11,436.19,436.26,434.82,434.84,25072089.0
2021-11-12,436.1,438.67,435.16,438.12,34239790.0
2021-11-15,439.4,439.56,437.15,438.27,31243544.0
2021-11-16,438.02,441.14,437.93,440.0,30695704.0
2021-11-17,439.74,439.92,438.32,438.94,29497888.0
2021-11-18,439.97,440.69,437.25,440.43,35042674.0
2021-11-19,440.31,441.56,439.27,439.64,32115493.0
2021-11-22,441.44,444.0,438.2,438.4,52568302.0
